name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage

#Ambiance
ambient_mp_alcazaba,,misc/amb_africa01b.mp3,0.65,,,,,,,local,streamed,,looping,,mp_alcazaba





oracion,,misc/oracion.mp3,1,,,,,,,auto,streamed,,looping,,mp_alcazaba

inicio,,misc/inicio.mp3,1,,,,,,,auto,streamed,,looping,,mp_alcazaba

viento,,misc/viento.wav,1,,,,,,,auto,streamed,,looping,,mp_alcazaba
